# Activity probe — mechanical signals only, NOT verdicts.
# Generated 2026-08-14 by scripts/probe-activity-signals.mjs. Regenerate freely; not in Git.
# A 200 proves the domain answers, not that anyone is home: parked domains and mothballed
# program pages answer 200 forever. site-year is the newest year the homepage mentions, which is a
# better maintenance tell. evidence-date is the newest date a cited source document itself carries
# (Published, never Retrieved). Decide Activity from research; use these to know where to look first.
#
slug	type	tier	http	site-year	evidence-date	website	final-url
1-million-cups-orem	resource	D	200			https://www.1millioncups.com/s/account/0014W00002AqQfKQAV/orem-ut	
1-million-cups-salt-lake	resource	F	200	2026		https://1mcslc.com/	
1mc-salt-lake	resource	F	200	2026		http://www.1mcslc.com	https://1mcslc.com/
309th-software-engineering-group	venture	A	no-website				
3helix	venture	C	200	2026		https://www.3helix.com	https://www.3helix.com/
47g-utah-aerospace-and-defense-association	resource	D	200	2026		https://www.47g.org/	
a-bolder-way-forward	resource	D	200	2026		https://uwlp.usu.edu/abwf	https://www.usu.edu/uwlp/
a-tech-home-plans	resource	F	200	2025		https://startup.utah.gov/resources/	
aaron-skonnard	person	C	no-website				
acceler8-wasatch	resource	F	200			https://www.ogdencity.gov/DocumentCenter/View/33983/2025-Final-Acceler8-Wasatch-2025-Press-Release-May-8	
acima	venture	C	200	2024		https://www.acima.com/	https://www.acima.com/en
act-aerospace	venture	C	200	2026		https://actaero.com	https://actaero.com/
adobe	venture	B	no-website				
ai-builder-day	resource	D	200	2026		https://aibuilderday.com/	
ai-seminar-for-small-businesses-and-non-profits	resource	F	200	2025		https://startup.utah.gov/resources/	
album	resource	D	200	2026		https://www.album.vc/	
altitude-labs	resource	C	200	2026		https://www.altitudelab.org/	https://altitudelab.org/
ancestry	venture	B	200	2026		https://www.ancestry.com/	
apa-sherpa-everest-summits	work	C*	no-website		2024-05-22		
apa-sherpa-foundation	resource	D	200	2026		https://www.apasherpafoundation.org/	
apex-accelerator	resource	D	200	2026		https://business.utah.gov/apex/	
apprenticeship-utah	resource	C	200	2021		https://apprenticeship.utah.gov/	
araknitek	venture	D	no-website				
army-short-range-reconnaissance-uas	work	C	200	2026		https://www.army.mil/article/288117/army_begins_production_of_second_tranche_of_short_range_reconnaissance_uas	
arpanet-fourth-node	work	A	200	2026		https://it.utah.edu/node4/posts/2017/august/node4-history.php	
arup-laboratories	venture	B	200	2026		https://www.aruplab.com	https://www.aruplab.com/
atavistik-bio	venture	C	200	2026		https://atavistikbio.com	https://atavistikbio.com/
atmospheric-waves-experiment	work	C	no-website				
atwood-innovation-plaza	resource	D	200	2026		https://innovation.utahtech.edu/	
auticon-us	venture	D	200	2026		https://auticon.com/us/	
autonomous-low-collateral-counter-uas-interception	work	C	200	2026		https://fortemtech.com/	
autonomous-solutions-inc	venture	C	200	2026		https://asirobots.com	https://asirobots.com/
bamboohr	venture	C	200	2024		https://www.bamboohr.com/	
batu-biologics	venture	F	no-website				
