nucleus-grow	C	Free, expert SBIR/STTR proposal help can unlock major funding, but only a small minority of new founders have eligible R&D or win an award.
utah-innovation-center	C	This is the former name of Nucleus Grow: strong SBIR/STTR help, but relevant to only a small minority of typical new founders.
altitude-labs	C	Lab space, coaching, and possible funding can transform a biotech startup, but almost every typical new founder is outside its narrow, selective fit.
utah-office-of-regulatory-relief	C	A regulatory waiver can be decisive, but few entry-level founders are blocked by a rule that qualifies for the sandbox.
utah-sbdc	A	Free, statewide one-to-one counseling is easy to reach and likely to improve a beginner's planning, pricing, financing, or next decision.
apex-accelerator	C	Free contracting help is valuable once government is a real customer, but that is not the typical new founder's first path.
utah-small-business-credit-initiative	B	Real credit enhancement with a published structure: Loan Participation buys down a collateralized loan, Capital Access covers borrowers without collateral. Turns a bank no into a yes. There is a lender and a decision you can go get.
utah-center-for-rural-development	B	Named money with named triggers: REDI grants for new high-paying rural jobs, RCOG competitive grants, Enterprise Zone credits, REDTIF post-performance reductions, Utah Rural Jobs capital access. A rural employer planning a hiring expansion should plan around it.
goldman-sachs-1000-small-businesses	C	High-quality free education can improve an established owner, but selection and operating-history requirements exclude a typical entry-level founder.
suazo-business-center	C	Bilingual advising and lending are unusually useful for its audience, but the median founder may not need its specialized route.
university-of-utah-technology-licensing-office	C	It is mandatory and decisive for a U of U inventor, but irrelevant to nearly every typical new founder.
utif	C	Microgrants and bridge loans can help SBIR/STTR applicants, but eligibility starts after a specialized federal-funding path the typical founder never enters.
utah-mep	C	Federally subsidized manufacturing extension: sales, leadership, compliance, production, and a demonstration lab, with custom engagements. Real plant-floor work at below-consultant cost, but private consultants do exist.
edcutah-economic-development-corporation-of-utah	C	Free statewide site-selection support with comparative data, on-the-ground analysis, incentive navigation, and an investor network of real-estate, legal, utility, and workforce experts. Worth a morning when a Utah siting decision is actually live.
grow-utah	C	Over $1M in reported cash and services awarded across 30+ contests since 2008, plus the RAMP and LIFT accelerators and the Startup Connectory. Nondilutive prize money you can actually apply for.
sba-utah-district-office	C	The only route to federal small-business certifications — 8(a), HUBZone, WOSB — plus SBA loan-program routing and lender connections. The certifications are real assets and this is the door to them.
u-s-commercial-service	C	Export counseling from local trade specialists, foreign-partner due diligence, and federal advocacy abroad. Specific, hard to replicate privately, and free to U.S. companies.
world-trade-center-utah	C	Trade missions, market-entry programming, and support for STEP grants, which are real money against export-marketing costs. Useful only once there is something exportable.
