coreform.md	B	Isogeometric analysis removes the geometry-to-mesh translation step rather than merely improving a solver; years of production-oriented spline and CAD work give Coreform a credible route to changing CAE workflows across physics-heavy industries, though customer validation remains thin.
cosm.md	C	Seventy years of acquired dome engineering, a standardized nearly-100-GPU venue stack, and several operating venues make the category bet credible, but even global success changes how audiences consume some entertainment rather than durably restructuring a major sector.
cotopaxi.md	C	A nationally scaled consumer brand with a real mission structure, but outdoor gear remains readily substitutable and the 1%-of-revenue model does not create a plausible route to field-defining displacement.
crumbl.md	C	The rotating-menu, app-native franchise system is a distinctive growth mechanism, but even maximal success displaces dessert consumption without permanence; fame is irrelevant to the ceiling.
culmination-bio.md	B	Four decades of longitudinal Intermountain clinical records linked to tissue and omics are a scarce, non-replicable discovery asset; if Apex makes that corpus safely queryable for pharma, it can structurally change target validation even before partnership scale is fully verified.
curza.md	A	A new ribosome-site antibiotic class resilient to bacterial mutation could permanently bend global antimicrobial resistance, and licensed Utah chemistry plus NIH, DTRA, CARB-X, and REPAIR support make Curza's company-specific route credible despite the preclinical risk.
cyclokinetics.md	D	Drop-in higher-energy propellant could materially extend fielded aircraft and missile capability, but every decisive milestone remains company-reported with no named platform, contract, or independent test, so the page cannot yet support the large ceiling.
cyrq-energy.md	C	Operating firm geothermal generation is substantive, but known-resource hydrothermal plants are an incremental deployment model without a company-specific mechanism for reordering global energy.
deseret-book-bonneville.md	B	A century-scale publishing and broadcast apparatus shapes news and culture for Utah and a global church audience, a durable sector-level institution even though the page awkwardly combines several operating entities.
digicert.md	B	Enterprise certificate, PKI, and post-quantum migration infrastructure has systemic reach, and DigiCert's trust position can shape how a whole security layer transitions; other authorities cap it below a global-frontier claim but do not erase that structural leverage.
domo.md	C	Unified, agentic business intelligence is a real product direction, but the page shows no proprietary data, architecture, or deployment wedge likely to give Domo disproportionate control of a transition every major BI vendor is pursuing.
eden-technologies.md	D	A retrofit doubling reverse-osmosis water yield would be consequential, but the 2x figure and pilot implications lack independent industrial validation; a huge desalination prize cannot substitute for evidence that this mechanism works.
electric-power-systems.md	B	FAA-grade thermal containment and NASA safety milestones target the binary certification gate holding back multiple electric-aircraft programs, giving EPS a credible, company-specific route to structurally enabling a sector even before certification.
enduracure.md	C	Triggered-dissolution substrates attack the actual bonding bottleneck in electronics recovery with university chemistry and an NSF-backed commercialization vehicle; commercial-scale yield is unproved, so this credible sector-changing bet remains one tier below that ceiling.
energy-fuels-white-mesa.md	B	An operating conventional uranium mill plus an early non-Chinese rare-earth separation route occupies scarce physical and regulatory infrastructure, with durable supply-chain and environmental consequences in both directions.
energy-solutions.md	B	The West's only commercial low-level radioactive-waste disposal site is irreplaceable fuel-cycle infrastructure whose material and liabilities persist beyond ordinary institutional horizons.
epitel.md	C	FDA-cleared long-duration wireless EEG can broaden seizure detection outside hospitals, but the page shows a useful diagnostic product rather than a mechanism or asset likely to reorganize neurology at sector scale.
evolution-bio.md	C	Mammalian directed evolution for GPCRs has a strong Cell-published mechanism and the page now corroborates the Salt Lake City company; financing, IP boundaries, and partnerships remain too thin for a structural claim, but the venture is estimable rather than unrankable.
familysearch.md	B	A century of global record digitization created uniquely durable genealogy infrastructure and helped enable the Utah Population Database, but the downstream genetics displacement is ranked on that separate page and consumer genealogy itself remains structurally significant rather than frontier-setting.
fervo-energy.md	A	Horizontal-drilling geothermal has an S ceiling if it makes firm clean power broadly repeatable, and 500 MW under construction plus 658 MW of binding long-term PPAs provide an unusually concrete company-specific deployment path despite pre-revenue risk.
fortem-technologies.md	B	Integrated low-SWaP radar and autonomous net-capture interceptors are a distinctive answer to the small-drone defense gap, with a mechanism applicable from battlefields to critical infrastructure; missing independent deployment data keeps the call uncertain but competition alone does not divide away the prize.
furnace-outbound.md	D	Managed outbound sales is useful to individual clients but has no scarce asset or technical mechanism that could compound into durable sector-level displacement.
globus-relief.md	C	Recovering and routing medical surplus produces meaningful clinical value at multimillion-dollar operating scale, but the logistics model is replicable and its largest lifetime-throughput claim is unreconciled to filings.
great-salt-lake.md	A	A terminal lake's survival or collapse could permanently reshape a continental flyway and the health and habitability of a 2.5-million-person airshed; the magnitude is clear even though this page is a natural-system opportunity brief rather than a venture.
halda.md	C	Cross-channel institution-specific enrollment agents could improve student navigation, but reported adoption and conversion remain self-reported and the page shows no unique asset or validated mechanism for structural control of education enrollment.
halia-therapeutics.md	A	Allosteric NEK7/NLRP3 inhibition could become a platform across inflammation-driven aging disease, and a 72% HI-E response in 18 evaluable Phase 2a patients supplies human evidence for that distinctive mechanism; larger trials remain the decisive uncertainty.
health-catalyst.md	C	Healthcare data integration is deployed at real scale, but the page offers no proprietary clinical asset or frontier mechanism that makes Health Catalyst's share of the analytics transition structurally irreplaceable.
helpside.md	D	Shared HR and benefits infrastructure matters to regional employers but remains a readily replaceable enabling service whose effects stop with its client base.
hexcel.md	B	Aerospace-grade carbon fiber qualification history and supply reliability compound across more than 100 long-lived space and defense programs, making Hexcel a load-bearing industrial platform even without sole ownership of the materials frontier.
