309th-software-engineering-group.md	B	Maintaining mission software across fighter and deterrent fleets shows unusual technical stewardship and responsibility, but the page reveals an institutional capability more clearly than the agency or convictions of particular builders.
3helix.md	A	A decade-long attempt to turn one precise collagen insight into research tools, cosmetics, diagnostics, and therapeutics shows specific conviction, patient platform-building, and a willingness to enter through the tractable market without abandoning the deeper thesis.
acima.md	C	Scaling lease-to-own underwriting shows execution, but the page reveals little distinctive conviction, craft, stewardship, or chosen leverage behind the financial product.
act-aerospace.md	B	Sustaining aerospace-qualified composites manufacturing in Gunnison requires real craft, process discipline, and ownership beyond ordinary distribution, even though the page does not expose a singular animating belief.
adobe.md	C	The Utah hub contains capable builders and compounds local talent, but this page's atom is a corporate campus and reveals little about the character of the people doing the work.
ancestry.md	A	Decades spent assembling records, software, trees, and genetic matching into enduring family-history infrastructure show institution-building patience and care for a problem whose value compounds across generations.
araknitek.md	B	Trying to commercialize recombinant spider silk as a surgical and industrial adhesive shows technical courage and neglected-leverage seeking; the company stopped early, so the visible builder record is promising but narrow.
arup-laboratories.md	A	Building and maintaining a national esoteric-testing lab whose surplus supports academic pathology is a rare institutional design sustained for four decades, revealing stewardship, technical standards, and long-horizon purpose.
atavistik-bio.md	A	Organizing a company around a proteome-scale map of hidden allosteric regulation, then carrying it into clinical programs, reveals a specific causal belief joined to costly scientific execution.
auticon-us.md	A	Designing a consultancy around majority-autistic teams rather than treating neuroinclusion as philanthropy shows specific institutional conviction and community-forming ambition, even though this page verifies no Utah footprint.
autonomous-solutions-inc.md	A	Twenty-five years of OEM-agnostic autonomy for dangerous off-road work shows endurance, deep technical craft, and chosen leverage in a less fashionable but consequential domain.
bamboohr.md	C	The company executed a useful SMB product well, but the page does not reveal a distinctive belief, costly commitment, or standard that separates its builders from other capable software teams.
batu-biologics.md	unranked	The page cannot recover the mechanism, active team, milestones, or sustained choices needed to infer builder character responsibly.
baxter-aerospace.md	B	Pairing long-endurance VTOL aircraft with deployable communications for austere response shows a coherent mission and hands-on hardware ambition, but the public record is still too young to reveal exceptional endurance or standards.
best-friends-animal-society.md	S	Turning an animal sanctuary into a decades-long national institution aimed at ending shelter killing shows extraordinary devotion, community formation, operational endurance, and a willingness to organize a life around a neglected moral conviction.
bioenergenix.md	unranked	An old spinout and rodent-study announcement do not reveal enough sustained action or present builders to distinguish character from an abandoned research lead.
biofire-diagnostics.md	A	Turning multiplex PCR into a dependable one-cartridge hospital workflow required scientific taste, regulated-product persistence, and obsessive operational execution across many panels and years.
bioparin.md	A	Choosing the fragile animal-extracted heparin supply chain and pursuing a synthetic route through hard biomanufacturing work is a strong chosen-leverage signal: a specific capability aimed where failure has unusually high consequences.
blackrock-neurotech.md	A	Decades of keeping a difficult neural-interface platform usable across human research shows patient stewardship, technical seriousness, and commitment through a field's long winters rather than a fashionable launch.
blue-raven-solar.md	C	Fast growth and installation execution are visible, but the page reveals little about a distinctive belief or builder standard beyond succeeding in a crowded deployment business.
blundell-geothermal-plant.md	B	Keeping a geothermal plant producing firm power for decades is quiet, technically demanding stewardship; the page reveals maintenance character more clearly than entrepreneurial conviction.
bunnell-incorporated.md	S	Devoting a small company's identity to one difficult neonatal ventilation modality and maintaining the only in-force PMA over decades shows exceptional care, craft, and chosen leverage for a tiny population with profound need.
byu-pathway.md	A	Designing a low-cost accredited pathway around people excluded from conventional universities, then operating it across countries at scale, shows ambitious institution-building and a specific belief about who higher education should serve.
calycia-biosciences.md	A	Choosing glioblastoma's delivery barrier and building a locally delivered macrophage architecture around it shows high scientific agency and a specific fit between mechanism and an unusually neglected clinical need.
carterra.md	A	Years spent making microfluidic array SPR useful enough for real antibody laboratories reveal deep instrument craft, patience, and a clear belief that measuring whole libraries changes how discovery teams think.
carv.md	B	Putting sensing, embedded computation, biomechanics, and real-time coaching inside ski boots shows product taste and unusual technical playfulness, though the page reveals a narrower commitment than the top builder tiers.
cleanjoule.md	A	Pursuing aviation decarbonization through a fuel that improves performance rather than asking operators to accept a penalty shows sharp adoption taste, technical ambition, and chosen leverage in a notoriously hard sector.
clozd.md	C	Systematizing buyer truth can reflect care and craft, but the page does not yet reveal unusual sacrifice, long-horizon conviction, or institution-building beyond a well-executed software and services company.
comphealth.md	B	Decades of staffing clinicians into hard-to-fill settings show durable operational ownership and service infrastructure, even though the page cannot establish the stronger category-creation story.
