impact-utah	concluded	2025-07-31	terminal:dissolved	https://www.deseret.com/politics/2025/07/29/utah-auditor-said-nonprofit-utah-impact-spent-millions-on-private-expenses/	Deseret News 2025-07-29 reports Impact Utah will cease operations July 31 after a state audit of MEP-fund misuse; 47G Impact Center page still describes the joint venture in present tense.
indie-square	active	2026-04-16	event	https://stayhappening.com/e/the-art-of-donor-prospecting-andamp-donor-communication-frequency-E118SAWRVOGOC	Dated listing for an April 16 2026 workshop at Indie Square Murray; official work-here page also lists current vacant suites with monthly rates, but that copy is undated.
international-trade-and-diplomacy	active	2026-04-10	news	https://www.wtcutah.com/mediastories/tm-switzerland-germany	WTC Utah dated 2026-04-10 release covers the GOEO-partnered governor trade mission to Switzerland and Germany April 13-21 2026; GOEO also posted a conclusion writeup of the same mission.
iron-county-economic-development	active	2026-09-01	cohort-open	https://www.cedarcityut.gov/Grants	Cedar City/Iron County ED grants page posts the 2026-2027 Small Business Grant cycle with pre-applications September 1-20 2026 and awards November 2 2026.
ivumed	active	2026-08-14	event	https://www.ivumed.org/surgical-teaching-workshops	Official workshops page lists upcoming 2026 surgical teaching workshops including Ghana oncology August 14-23 2026 and Nigeria pediatric urology September 11-20 2026.
juab-county-economic-development	active	2025-04-08	news	https://inlandportauthority.utah.gov/all-news/uipa-incentive-supports-ash-grove-cement-plant-upgrades-in-juab-county/	UIPA 2025-04-08 release quotes Juab County ED director Brent Boswell on the Ash Grove Leamington plant incentive; county business page itself is still a coming-soon stub.
justbuild	active	2026-08-14	event	https://aibuilderday.com/	JustBuild-presented AI Builder Day Part 2 is scheduled for August 14-15 2026 in Lehi; official event page lists the weekend, registration, and JustBuild as presenter.
kem-c-gardner-policy-institute	active	2026-01-16	release	https://gardner.utah.edu/news/2026-economic-report-to-the-governor-highlights-resilient-utah-economy-amidst-national-headwinds/	Gardner Institute 2026-01-16 news release: presented the 38th Economic Report to the Governor at the 2026 Economic Outlook and Public Policy Summit; homepage also lists August 2026 research briefs.
kickstart-fund	active	2026-05-18	award	https://www.sponsorcx.com/the-sponsorship-industry-is-modernizingwith-ai-and-investors-are-backing-the-platforms-that-will-power-it/	SponsorCX 2026-05-18 release: additional Series A investment led by Kickstart, with partner Tanner Potter quoted as board member; FAQ also says Fund VI is actively deploying.
kiln	active	2026-05-11	release	https://kiln.com/happenings/press-releases/kiln-coworking-expands-preston-hollow-plano/	Kiln 2026-05-11 press release: Preston Hollow location opening May 18 2026 and Plano later in 2026; Utah locations remain in the network.
kinect-capital	active	2026-09-03	cohort-open	https://kinectcapital.org/	Official homepage lists the 43rd Annual Investors Choice Conference on September 3 2026 in Midvale with applications now open.
lialaunch	unknown				Homepage and about page describe advisory, investment, and pitch competitions with no dates; pitch-competition URL 404s; searches found no 2025-2026 cohort, award, or filing for LiaLaunch itself (founder public record is Scribbi).
logan-city-economic-development	active	2026-07-09	news	https://www.upr.org/utah-news/2026-07-09/logan-target-cache-valley-opening-date	Utah Public Radio 2026-07-09 reports the Logan Target at the former mall site opening July 26 2026, the Cache Valley Marketplace project Logan ED director Kirk Jensen had been the city contact for.
make-salt-lake	active	2026-08	official-page-dated	https://makesaltlake.org/	Official homepage events widget is set to August 2026 week 33; Meetup upcoming list was empty when checked, so the dated calendar on the org site is the signal.
make-utah	active	2025-06-24	news	https://kutv.com/features/fresh-living/utahs-hardtech-future-takes-the-spotlight-at-public-innovation-showcase	KUTV 2025-06-24 covers a June 25 2025 MakeUtah and TribeAngels hardtech showcase at doTERRA HQ; May 2025 newsletter also lists a June 19 Third Thursday pitch.
maven-create	active	2026-09-01	official-page-dated	https://mavenslc.com/collection/create/	Maven SLC Create page posts a lease promo of six weeks free plus two extra weeks if move-in by September 1 2026, with an August 1-31 2026 window; members portal had no upcoming events listed.
mercato-partners	active	2025-08-21	award	https://www.intelligence360.news/wellth-raises-36m-in-oversubscribed-series-c-as-health-plans-embrace-daily-care-motivation/	PR Newswire via intelligence360 2025-08-21: Wellth $36M Series C led by Mercato Partners (March 2025 close); Mercato newsroom itself still tops out at 2024 posts.
military-installation-development-authority	active	2026-06-26	official-page-dated	https://www.midaut.org/news-2/mida-board-meeting-highlights-1	MIDA board-meeting summary dated June 26 2026 records FY2026-27 budget adoption, Camp Williams Lunar Resources sublease, and Falcon Hill site-plan approvals.
moab-chamber-of-commerce	active	2026-12-04	event	https://business.moabchamber.com/eventcalendar	Chamber event calendar lists chamber-hosted 2026 dates including the November 14 banquet and December 4 Swanny Park tree lighting.
monarch	active	2026	official-page-dated	https://themonarchogden.com/	Official homepage solicits daily votes for Northern Utah 2026 Best Reception Center for Monarch Venues; no separately dated public events calendar was opened.
monticello-coworking-space	active	2025-12-01	event	https://members.monticellocoworking.com/events	Space events log lists a December 1-5 2025 U.S. Department of Energy Legacy Management contractor booking; no upcoming 2026 events were posted when checked.
morgan-chamber-of-commerce	active	2026-07-04	event	https://business.morganutahchamber.org/community-events/Details/morgan-s-spectacular-4th-of-july-celebration-2026-1728255?sourceTypeId=Website	Chamber hosted Morgan Spectacular 4th of July Celebration 2026 on July 4 with parade, vendor, and regatta registration; wiki had recorded the domain as parked in July 2026 but the site is live now.
morgan-county-economic-development	active	2026-02-03	official-page-dated	https://www.utah.gov/pmn/sitemap/notice/1056253.html	Morgan County Commission 2026-02-03 work session is noticed for Northern Utah Economic Alliance and Inland Port Authority; county grant page describes a July 15 close with no year stated.
mountain-heights-academy	active	2026-08-21	cohort-open	https://mountainheightsacademy.org/enrollment/enrollment-options/full-time	Official full-time enrollment page is accepting 2026-2027 applications with Quarter 1 enrollment closing August 21 2026 at 3:00pm.
mountain-land-association-of-governments-revolving-loan-fund-rlf	active	2025-07-01	official-page-dated	https://magutah.gov/static/files/Admin/budget/MAG%20Budget%20FY26.Approved.pdf	MAG FY26 approved budget (July 1 2025-June 30 2026) funds the Small Business Loan Program; magutah.gov apply pages still take year-round applications with a monthly committee cutoff. Heber Valley RLF page is undated.
