iomega-zip-drive.md	C*	Peaked at $1.7B revenue with factory Zip options from Apple, Dell, and Gateway, so breadth was genuinely mass-market for four years, but permanence is nil — CD-R, USB, and broadband erased it and nothing in the design survives in a current product — leaving C, of which one step is the Click of Death and the perfection of the artifact (anchor).
jarvik-7-artificial-heart.md	S	Permanence does the work: the Clark implant is an unrepeatable boundary crossing — the first human to live on a fully mechanical heart, 112 days — and every VAD and the SynCardia TAH descend from a device no other program was ready to implant in 1982 (anchor).
moxie-solid-oxide-electrolysis-stack.md	B	The first oxygen ever manufactured on another planet is a permanent milestone, but the page scopes its atom to OxEon's SOXE stack inside an MIT-led instrument, and the counterfactual is thin — NASA flies the ISRU demonstration with another solid-oxide vendor — with 122 grams over 16 runs proving feasibility rather than production. [BOUNDARY: A vs B]
myriad-genetics-brca.md	S	Millions of actionable clinical results give total breadth and AMP v. Myriad permanently redrew what is patentable subject matter in the United States, and the patent enforcement that suppressed rival tests until 2013 counts as magnitude rather than a deduction (anchor).
omniture-web-analytics.md	C	The counterfactual is the weak dimension and the page concedes it: Omniture did not invent web analytics and Google Analytics drove the larger shift, so WebTrends and Coremetrics absorb the enterprise customers if it vanishes — real scale ($1.8B, ~600 Orem staff, still shipping as Adobe Analytics) attached to a change the measurable medium caused, not the company. [BOUNDARY: C vs B]
philo-farnsworth-television.md	S	Ruling 1's sub-ruling fixes the atom at electronic television itself, whose breadth is every broadcast image and camera sensor on earth and whose permanence is total; the counterfactual is only partial because Zworykin was building the iconoscope in parallel, which is exactly the Capecchi case and still lands S.
pons-fleischmann-cold-fusion.md	A*	B on displacement — the episode hardened global norms on embargoes, replication, and announcing before peer review, which is a real permanent change to how science communicates — plus one marked step for being the most instructive hour in the history of Utah science (anchor).
soundstream-digital-audio-recording.md	A	Stockham and Ingebretsen's computer waveform editing — crossfades and cut-and-paste, the Academy Award citation — is the substrate of every DAW now in use and the company proved digital recording commercially five years before the CD, so breadth is the whole recorded-music industry; the counterfactual is partial because Denon and others worked in parallel and the page claims only "first in the U.S." [BOUNDARY: A vs B]
spiral-jetty.md	B*	Land art became legible as a major postwar form partly through this work and the site is non-substitutable — move the basalt and the piece stops existing — so B on permanence, plus one marked step for a sculpture that submerges and resurfaces with the lake (anchor).
stratos-data-center.md	B	Ranked on ceiling: the one instrument-backed number is a 3 GW generation obligation, which would be a large fraction of Utah's entire grid, so bounds are state-scale on breadth and permanence — but that obligation sits in an unsigned draft, the 9 GW figure appears in no instrument, and DEQ had received no air-quality Notice of Intent as of 2026-05-04. [BOUNDARY: B vs C]
thiokol-solid-rocket-motors.md	S	Magnitude, not sign: segments cast at Promontory supplied most of the thrust at every Shuttle liftoff and the solid stages of Minuteman and Polaris, so the bounds are nuclear-deterrent-scale in both directions, permanence runs from the Cold War through SLS, and the counterfactual is a near-monopoly site. [BOUNDARY: S vs A] [FLAG: atom substantially overlaps northrop-grumman-promontory — same site and program lineage; either scope this page to the pre-Northrop Thiokol era or merge]
utah-array-bci-platform.md	S	The most-implanted intracortical electrode in history and the shared hardware layer under essentially all human BCI work, so breadth is every lab in an emerging field and the counterfactual is that without one standard array the hardest human experiments would not have been comparable across labs (anchor).
utah-computer-graphics-program.md	S	Catmull to Pixar, Warnock to Adobe, Clark to SGI and Netscape, Kay to PARC, Gouraud and Phong shading, the teapot — every rendered frame descends from it, and the counterfactual is strong because it was the school rather than a school (anchor).
utah-congregate-care-oversight-reform.md	B	Permanence and counterfactual are strong — quarterly unannounced inspections and one-business-day incident reporting sit in the Utah Code, replacing a regime that found deficiencies 1.6% of the time — but the breadth multiplier that would make a Utah licensing rule a national standard of care rests on APM Reports' uncited concentration and 12,000-children figures, which the page says it could not confirm. [BOUNDARY: B vs A]
utah-forge.md	A	The only US field laboratory de-risking enhanced geothermal, and an enabler that is itself irreplaceable infrastructure: the counterfactual is not "no geothermal research" but slower, proprietary learning, and the ceiling — repeatable engineered reservoirs off the hydrothermal map — is S (anchor).
utah-population-database.md	S	The linked genealogy-plus-medical-records instrument is why hereditary disease genetics happened here rather than elsewhere; BRCA is downstream of it, so the counterfactual is unusually strong for an enabler and the permanence is that of an ever-extending record (anchor).
utah-test-and-training-range.md	A	The counterfactual carries it: there is no second block of overland restricted airspace and desert safety footprint at this scale in the continental US, so every program needing supersonic, standoff, cruise-missile, or live-ordnance testing runs through here — with bounds running both ways, including permanent land withdrawal and ordnance contamination. [BOUNDARY: A vs B]
wordperfect-and-novell.md	B	Breadth was near-total for a decade — NetWare on roughly 63-70% of network-OS installations and WordPerfect as the DOS standard, so most office PCs on earth — but permanence collapses: both markets were gone within five years of the Windows transition and only NDS survives conceptually in modern directory services, and the share figures rest on Wikipedia by the page's own admission. [FLAG: two distinct atoms on one page — NetWare's ceiling and WordPerfect's are not the same claim, so a single tier cannot be right for both]
