event-mountain-west-capital-network	active	2026-08-20	event	https://www.mwcn.org/events-calendar/	Official events calendar lists the Aug 20 2026 Business Forum plus Nov 13 2026 Utah 100, so the current cycle is scheduled.
event-one-utah-summit	active	2026-08-04	event	https://oneutahsummit.utah.gov/	Governor's rural summit official page schedules the 2026 edition Aug 4-6 2026 at SUU in Cedar City; that cycle just concluded.
event-raising-kane-business-summit	active	2027-01	event	https://www.raisingkanesummit.com/	Official site advertises the next Kane County summit for January 2027 at Kanab Event Center and thanks 2026 speakers, so the annual cycle is live.
event-silicon-slopes-tech-summit	active	2026-02-04	news	https://www.deseret.com/entertainment/2026/01/24/silicon-slopes-summit-lineup-2026/	Deseret News dated 2026-01-24 reports the 10th annual Summit as Feb 4-7 2026 in downtown Salt Lake; the /summit page itself is undated evergreen.
event-utah-tech-week	active	2026-10-26	event	https://www.utahtechweek.com/	Official site dates Utah Tech Week Oct 26-30 2026 and is taking host applications and attendee registration for that cycle.
event-what-s-up-down-south-economic-summit	active	2027-01-14	event	https://whatsupdownsouth.org/	Official site schedules the next summit Jan 14 2027 at Dixie Convention Center with a posted agenda and $200 general admission.
federal-economic-development-administration	active	2026-03-03	official-page-dated	https://www.eda.gov/strategic-initiatives/disaster-recovery/supplemental/2025/frequently-asked-questions	EDA FY2025 Disaster Supplemental FAQ posts a March 3 2026 Industry Transformation deadline and rolling Readiness/Implementation windows until funds are exhausted.
first-step-entrepreneur	unknown				Official site offers an undated self-serve 7-day challenge and $47/mo Pro with no posted cohort; about page says 2025-Present; founder podcast runs through 2026-01-28; dropped from Startup State; no current cycle found (RUBRIC-GAP: evergreen self-serve program).
five-county-association-of-governments	active	2026-03-11	event	https://www.utah.gov/pmn/sitemap/notice/1064093.html	Utah Public Notice records a March 11 2026 Steering Committee meeting with posted packet, CDBG ranking, and audio recording, so the AOG is meeting this cycle.
forge-utah	active	2026-04-23	event	https://www.meetup.com/the-foundry-by-forge-utah/	Forge Utah Meetup lists The Foundry hack nights through Apr 23 2026 at the Draper space; Go West 2025-10-24 is archived and no 2026 conference date is posted.
fourth-street-clinic	active	2026-08-05	official-page-dated	https://fourthstreetclinic.org/blog/	Clinic blog dated Aug 5 2026 describes ongoing vaccine outreach, and a July 16 2026 post covers June 2026 recognition by the Utah Homeless Services Board.
fstep-idea-explorer	unknown				The Idea Explorer tool at firststepentrepreneur.com/app still loads but carries no date; no current cycle, changelog, or independent dated use found; same undated FSTEP program as the parent listing.
flaming-gorge-chamber-of-commerce	active	2026-09-05	event	https://www.flaminggorgecountry.com/DaggettDaze/	Chamber tourism site schedules Daggett Daze for Sept 5 2026 with open parade and vendor forms; membership page lists it among chamber-sponsored events.
futureready-utah	dormant	2025-02-12	news	https://www.utahbusiness.com/workforce/2025/02/19/building-utah-talent-piplines-2025/	Utah Business dated Feb 12 2025 reports first-year results and ongoing admission; official site is now an undated career-transition toolkit with no 2026 workshop calendar found.
get-started-business-idea-challenge	active	2026-01-30	official-page-dated	https://startup.utah.gov/the-return-of-get-started-2026s-first-winners/	Startup State Jan 30 2026 post names 2026 Builder Day winners after a late-2025 hiatus and says future live pitch events will rotate regions.
goldman-sachs-1000-small-businesses	active	2026-09-02	cohort-open	https://themillatslcc.com/education/goldman-sachs-10000-small-businesses/	Utah delivery partner The Mill posts Cohort 40 opening Sept 2 2026 after a Feb 1-May 20 2026 application window.
grand-county-economic-development	active	2025-05-20	news	https://www.moabtimes.com/articles/grand-county-creates-new-economic-development-position/	Times-Independent reports the May 20 2025 commission created a non-tourism ED/PIO role after folding the old department into tourism; Rural County Grant review was then underway.
greater-nephi-chamber-of-commerce	dormant	2025-01-14	event	https://www.nephi.utah.gov/AgendaCenter/ViewFile/Minutes/_01142025-360/	Nephi City Jan 14 2025 minutes show chamber officers requesting the annual city contribution and launching a new website; public event pages are undated and the gala listing matches Oct 2 2024.
grix	active	2025-11-05	news	https://www.techbuzznews.com/mindsmith-raises-4-1-million-seed-round/	TechBuzz Nov 5 2025 reports Grix as a participating investor in Mindsmith's $4.1M seed, with founder Randall Lloyd quoted; the grix.vc homepage is an undated Wix splash.
grow-utah	active	2025-05-29	cohort-open	https://growutah.com/ramp/spring2025	Official RAMP page dates the Spring 2025 cohort March 27-May 29 2025; no 2026 cohort dates are posted, only a notify list.
heber-city-community-alliance-for-main-street	active	2026-06-05	event	https://hebercity-cams.org/market-on-main-launches-into-summer/	CAMS post dated June 5 2026 covers Market on Main, which it now organizes through mid-August 2026, citing Park Record reporting.
heber-valley-chamber-of-commerce	active	2025-11-07	official-page-dated	https://www.gohebervalley.com/bom-nov-2025/	Chamber Business of the Month page is dated Nov 7 2025; 2026 luncheon, mixer, and annual sponsorships are posted as sold out.
heber-valley-economic-development	active	2026-06-16	award	https://www.gohebervalley.com/newsroom-wasatch-county-microgrant-recipients-2026/	Heber Valley Tourism and Economic Development June 16 2026 release names 25 Wasatch County microgrant recipients from the $90k GOEO-funded cycle.
hurricane-valley-chamber-of-commerce	active	2026-08-20	event	https://hvchamber.com/	Official homepage schedules an Aug 20 2026 member networking breakfast and Aug 25 2026 golf tournament and names Greater Zion as July 2026 Business of the Month.
ihub	active	2026-05-21	news	https://www.techbuzznews.com/ihub-graduates-eight-companies/	TechBuzz dated May 29 2026 covers the May 21 2026 Founder Graduation luncheon for eight Innovation Forge companies at the Provo facility.
