aaron-skonnard.md	B	Co-founding and sustaining a technical-learning company from 2004 to global scale shows persistence and builder competence, though the page reveals less distinctive conviction than the top tiers require.
chad-testa.md	A	Organizing years of work around a new antibiotic mechanism for drug-resistant Gram-negative bacteria is a strong chosen-leverage signal: scientific leadership aimed at a neglected market with extreme public consequences.
clint-betts.md	B	Simultaneously building a technology community and a publication willing to examine local institutions shows community-forming agency and appetite for a difficult public tension, though the record is still indirect.
dave-bearss.md	A	Repeatedly working in the academic-to-clinic gap and forming translational programs and companies shows a coherent chosen leverage point, institutional agency, and willingness to carry science through expensive stages others avoid.
davis-smith.md	A	Building a consumer company around an explicit poverty mission and sustaining that alignment through brand growth shows specific conviction and a serious attempt to make ordinary commerce serve a larger purpose.
florian-solzbacher.md	S	Commercializing the Utah Array before a BCI market existed, then stewarding human neural-interface infrastructure through decades of slow progress, shows rare technical courage, endurance, and chosen leverage.
fred-lampropoulos.md	A	Building a durable Utah manufacturer across decades of minimally invasive medicine shows hands-on product craft, institutional persistence, and ownership of unglamorous devices that clinicians depend on.
jared-rutter.md	A	Moving from a fundamental metabolite-protein discovery to a company designed to turn the map into medicines shows scientific taste, agency across institutional boundaries, and deliberate leverage of a rare personal insight.
josh-james.md	B	Building two public enterprise-software companies demonstrates exceptional commercial execution and repeat agency, though the page reveals less about a specific enduring belief or responsibility beyond company creation itself.
karl-sun.md	B	Sustaining a Utah enterprise-collaboration company to broad adoption shows real institution-building and product judgment, while the page offers limited evidence of a singular long-horizon conviction.
ryan-smith-imsar.md	A	The coherent path from radar engineering to a company that miniaturizes capable sensing reveals a rare fit between personal skill, neglected technical leverage, and sustained manufacturing execution.
ryan-smith-qualtrics.md	B	Building Qualtrics through multiple ownership transitions and reinvesting in Utah shows substantial agency and ecosystem commitment, though prestige and transaction scale do more work on the page than a recoverable builder thesis.
tim-latimer.md	S	Recognizing that oil-and-gas drilling skill could unlock geothermal, then reorganizing a career and company around that bridge, is an unusually clear case of chosen leverage joined to audacious, sustained execution.
bbcetc.md	B	Long practice helping technical teams translate real R&D into federal proposals shows specialized craft and service ownership, though the page reveals a consultancy rather than a larger formative institution.
choice-humanitarian.md	A	Decades of village-led development and an expedition model built around local ownership show durable commitment, community formation, and a specific rejection of outsider-directed aid.
eide-bailly-utah.md	C	The office provides capable professional stewardship, but the page reveals services and breadth more clearly than distinctive builder character or chosen leverage.
kirton-mcconkie.md	C	Maintaining a broad regional legal institution requires competence and continuity, but this page does not expose the beliefs, standards, or costly choices of its builders.
maschoff-brennan.md	B	Choosing deep intellectual-property specialization and sustaining it across Utah offices shows craft and focus beyond generic professional services, though the human record remains indirect.
now-cfo.md	C	The fractional-finance model is useful and competently executed, but the page reveals little about unusual conviction, standards, or community-building.
nucleus-institute.md	A	Trying to form universities, founders, students, investors, and policymakers into a coherent deep-technology community is institution-building work; under maximum faith, the community itself is a deliberately designed capability rather than mere convening.
parsons-behle-latimer.md	B	Long stewardship of a Mountain West institution with technical and emerging-company practices shows durability and professional craft, though the page is not intimate enough for A.
preferred-cfo.md	C	Building an outsourced-finance firm shows ownership and service execution, but the page supplies no distinctive conviction or unusually demanding standard.
rqm-plus.md	B	Regulatory and clinical work for medical devices occupies an unglamorous bottleneck where specialist judgment determines whether inventions reach patients; the page shows chosen leverage more than ordinary consulting, though not the people directly.
tanner-llc.md	B	Maintaining an independent Utah accounting institution since 1940 shows quiet stewardship and standards across generations, even if the page cannot expose individual convictions.
wilson-sonsini-salt-lake-city.md	C	The office brings sophisticated legal capability to Utah companies, but the atom is a branch of a national firm and reveals little local builder character.
workman-nydegger.md	B	A firm organized narrowly around protecting inventions shows specialist craft and a clear belief about where technical builders are vulnerable, though the page reveals limited personal history.
