apa-sherpa-everest-summits.md	S	Twenty-one Everest summits show extreme discipline and mastery; retiring on a promise and redirecting the stature toward schools reveals devotion and chosen leverage beyond the feat itself.
army-short-range-reconnaissance-uas.md	B	Iterating a portable reconnaissance system toward platoon use shows practical field focus and manufacturing execution, but the program atom reveals procurement more clearly than exceptional builder character.
arpanet-fourth-node.md	A	Joining an uncertain four-node networking experiment required technical courage, collaborative trust, and willingness to build infrastructure before its uses were legible.
atmospheric-waves-experiment.md	A	Carrying a delicate atmospheric instrument from scientific question through flight hardware and ISS operation shows patient craft, cross-disciplinary standards, and commitment to knowledge with no easy commercial reward.
autonomous-low-collateral-counter-uas-interception.md	A	Choosing physical interception over indiscriminate or explosive defense shows architectural taste at the intersection of autonomy, safety, and field constraints, backed by years of hardware execution.
bingham-canyon-mine.md	B	The mine embodies generations of formidable engineering and operational stewardship, but the page reveals an industrial system more clearly than the convictions or responsibility of particular builders.
browning-firearms-designs.md	S	A lifetime of mechanisms whose reliability survived a century shows extraordinary craft, obsessive iteration, and personal agency, regardless of the weapons' contested consequences.
capecchi-gene-targeting.md	S	Persisting with targeted gene modification against skepticism until it became a universal experimental method shows rare scientific conviction, patience, taste, and reality-tested execution.
conotoxins-and-prialt.md	S	Devoting a research career to the unlikely information hidden in cone-snail venom, then carrying it from basic biology to a non-opioid medicine, is an exceptional chosen-leverage and scientific-stewardship record.
dugway-proving-ground.md	B	Decades of maintaining dangerous, technically demanding test capability show institutional discipline and responsibility, while secrecy and the page's facility framing obscure individual builder character.
eimco-rocker-shovel-loader.md	A	Solving the exact underground bottleneck miners lived with through a robust mechanical design shows grounded taste, craft, and chosen leverage in an unfashionable but transformative problem.
evans-and-sutherland.md	S	Building the hardware institution that let a university's graphics ideas become real systems shows rare ecosystem awareness, technical ambition, and the ability to gather a field around tools that did not yet have a market.
flys-eye-hires-cosmic-rays.md	A	Constructing and calibrating remote observatories for particles almost never seen shows scientific devotion, patience, and willingness to build at the edge of measurability.
golden-spike-transcontinental-railroad.md	B	The achievement required immense coordination, endurance, and engineering, but the page's atom is a national project whose coercion and distributed labor make personal builder character difficult to read.
harvey-fletcher-stereophonic-sound.md	S	A career joining psychoacoustics, hearing, communication, and stereo reveals unusual curiosity, experimental craft, and repeated placement of personal skill at foundational sensory bottlenecks.
help-clinical-decision-support-system.md	A	Building a learning clinical-information system decades before the category was obvious shows institutional imagination, physician-engineer collaboration, and long stewardship inside real care.
high-density-sustainable-aviation-fuels.md	A	Designing adoption around higher performance rather than moral sacrifice shows unusual technical and commercial taste applied to a hard climate bottleneck, though the atom overlaps its company builders.
h-tracy-hall-diamond-presses.md	S	Continuing from a contested corporate invention into presses that spread extreme-pressure capability worldwide shows inventive independence, craft, and determination to make discovery reproducible.
intermountain-clinical-quality-improvement.md	S	Spending decades persuading clinicians to measure variation and redesign care processes shows rare institutional courage, humility before data, and sustained responsibility for outcomes rather than prestige.
