weber-state-ai-hackathon	C	Two weeks of mentored remote build time, expert workshops, an in-person finale, meals, and an $1,800 prize pool, for a $10 ticket. The mentored runway before the deadline is the part that is hard to get elsewhere.
ai-builder-day	C	Sponsor bounty tracks are the substance: named companies posting real problems for teams to build against, plus a prize pool, on-site team formation, and demos to judges and investors.
utah-department-of-workforce-services	D	Every Utah employer eventually touches jobs.utah.gov for hiring reach and UI account management. Mandatory infrastructure rather than leverage — nothing here changes the odds, it just has to be done.
utah-manufacturers-association	D	Sponsored healthcare plans, 401(k) options, and workers' compensation discounts are real handed cost savings for a small manufacturer; the advocacy and awards are not. Membership pricing unpublished.
utah-defense-alliance	D	Installation-aware advocacy and industry community around Hill, Dugway, Camp Williams, and UTTR. Useful context for a defense supplier, but 47G is the one with the accelerator and the testbeds.
bio-utah	D	A life-sciences trade association whose one handed benefit is BIO Business Solutions group purchasing, which the site says can exceed annual dues for some members. The rest is advocacy and events.
biohive-utah	D	Ecosystem branding and convening for Utah life sciences, with BioHive Live and sub-communities. Peers rather than leverage; pair with BIO Utah's purchasing program if dues are the question.
utah-inland-port-authority	D	Project-area planning across the Northwest Quadrant, Tooele Valley, and Golden Spike, relevant to an operator actually siting warehouse, freight, or cold-chain capacity. Nothing for anyone else.
military-installation-development-authority	D	Project-area governance, development agreements, and legislatively authorized financing mechanisms. Reachable only through a project area's legal process, not a program a founder applies to.
wasatch-front-regional-council	D	Transportation Improvement Program planning, Wasatch Choice technical assistance, and CDBG administration across six counties. Real when transportation or regional plan alignment is the actual constraint.
utah-center-for-global-talent	D	Coordination, convening, advising, and a gathered set of workforce, credentialing, and immigration-legal links for employers with a global-talent bottleneck. A curated map, not a service.
utah-office-of-tourism	D	Cooperative marketing grant interviews and Going Global training sit behind a mostly promotional operation. Modest handed value for a tourism operator, none for anyone else.
utah-tourism-association	D	The trade voice for Utah's visitor economy: advocacy, research tools, and a conference. Membership terms unpublished, and nothing is handed to a member that they could not assemble.
utah-farmers-market-network	D	SNAP and Double Up Food Bucks technical assistance, a market manager handbook, liability-insurance guidance, and published membership pricing. Concrete for a market manager, thin for a vendor.
st-george-downtown-farmers-market	D	A weekly retail channel at Vernon Worthen Park with a vendor application path and SNAP/DUFB redemption. It is revenue, but it is a booth you rent, and every market offers the same.
usu-remote-online-initiative	D	Certified Remote Work Professional, a six-week e-commerce accelerator, and sales and leadership certificates through USU Extension. Course fees vary and the credential is the product.
futureready-utah	D	Free or reduced-cost short-term career training and employer-facing business consulting across southwestern Utah. Real for a regional employer, small and regionally bounded.
teen-entrepreneur-support-center	D	Mentorship, events, and free resources for teen founders — but program names, schedules, and mentor categories are unverified pending a reachable site.
snow-college-grit-center	D	A seminar series with visiting founders and the Bootstrap Your Business pitch competition with small-stakes funding. Real for a Snow College student, closed otherwise.
uinta-basin-tech-entrepreneur-center	D	A free Grow Your Business course, an entrepreneurship minor, internships, competitions, and incubator space at USU Vernal. Center hours are four a week.
utah-state-university-usu-jeffrey-d-clark-center-for-entrepreneurship	D	Minor coursework, a leadership series, the SEED program, competitions, mentoring, and internships. Student-scoped, with less public detail on funding amounts than peers.
utah-valley-university-uvu-entrepreneur-institute	D	Coursework, mentoring appointments, pitch events, ZinnStarter, VentureCon, and seed funding for UVU students. Real for enrolled students, and the funding amounts are not public.
utah-valley-university-innovation-center-academy	D	A wide portal of student, faculty, and partnership programs across internships, fellowships, mentorships, and research. Breadth without a specific thing handed to a founder.
southern-utah-university-suu-larry-h-and-gail-miller-center-for-entrepreneurship	D	Entrepreneurship programming across education, experience, and elevation pillars for SUU students. Specific competitions and funding amounts are unconfirmed.
salt-lake-community-college-slcc-the-mill	D	Incubator programming organized as Work Here, Learn Here, and Network Here, with stage-based intake and SLCC and SBDC ties. No published fee schedule.
the-mill-entrepreneurship-center	D	The same SLCC Miller Campus incubator described a second time; identical letter until the pages merge. Workspace, education tracks, and partner routing with no published pricing.
atwood-innovation-plaza	D	Utah Tech's St. George hub: free BRC consultations, a makerspace, patent and trademark guidance, offices, and pitch competitions. Substantive as a campus, and split across three overlapping pages.
utah-tech-university-atwood-innovation-center	D	The Atwood BRC described again under a third name; identical letter until the pages merge. No-cost consultations, startup roadmap, and incubator workspace in St. George.
business-resource-center-utah-tech-university	D	No-cost one-on-one consultations, LLC launch support, and government-contracting and export guidance — the SBDC package delivered locally, which is where its value comes from.
business-resource-center-davis-tech-college	D	SBDC consulting, Custom Fit training, government-contracting help, incubator memberships, and conference rooms in one Layton building. The advising is free; the space is not.
business-technical-assistance-center	D	Coworking and incubation for Carbon, Emery, Grand, and San Juan counties — address, 24-hour access, fiber, mail, meeting rooms — with no pricing ever published and only an archived site.
orem-library-makerspace	D	Free public access to 3D printers, creative software, recording space, and media-conversion equipment. Occasional prototyping for the price of a library card, with no programming attached.
utah-state-surplus-property	D	State-owned vehicles, equipment, and furniture disposed at auction. Genuinely useful capital equipment for a scrappy operator, and entirely a matter of what happens to be listed.
stopfakes-gov	D	Free federal grounding on IP basics and country-specific enforcement before you hire counsel. A structured starting point, and the filings and enforcement still cost what they cost.
score-utah	D	Free volunteer mentor matching and workshops. Real people giving real time, with quality that varies by mentor and a package the SBDC already covers with paid staff.
kinect-capital	D	A nonprofit mentor-driven accelerator doing investor-ready work, pitch and deck coaching, and term-sheet guidance. No universal fee or eligibility rule is published.
revroad	D	A Provo venture-services firm pairing capital with operating support in strategy, software, marketing, and business development — with applications described as closed and no published terms.
lialaunch	D	Strategic advisory, launch guides, early-stage investment, and pitch competitions for women founders, with advisory engagements possibly taken in equity. Verify the equity term before engaging.
nucleus-fund	D	State-linked early-stage equity for Utah deep-tech spinouts. Money if it picks you and nothing if it doesn't — the capital-source rule, even when the capital is public.
utah-innovation-fund	D	The Nucleus Fund under its former name; identical letter until the pages merge. Early-stage equity for university-spinout and research-driven teams, deal terms negotiated.
grix	D	A Salt Lake City pre-seed firm describing itself as first-capital investors in AI and B2B software. No check size, no portfolio depth, and no intake published.
convoi-ventures	D	Utah-only pre-seed backing breakout local startups before broader investors engage, plus operator-LP community events. Small, local, and unapplyable.
savory-fund	D	Operator-led private equity for emerging restaurant and food-and-beverage brands, with real multi-unit rollout infrastructure. Relevant to a narrow set of Utah operators with traction.
cross-creek	D	Late-stage and crossover investing bridging private to public. Reachable only by companies already carrying substantial late-stage traction, which is very few readers.
renewable-tech-ventures	D	Early-stage cleantech and energy venture capital with market intelligence and co-investor access. A thesis to read; no route in.
sorenson-impact-fund	D	Program-related and mission-related impact investment for social enterprises in education, economic mobility, health access, and sustainability. A specific thesis, and instrument-dependent terms.
park-city-angels	D	85+ accredited members with a screening and diligence process and no application fee. A real pitch target, and an angel group is a possibility rather than a service.
salt-lake-angels	D	An accredited-investor forum doing collective diligence, where members individually decide. Worth knowing exists if you are raising an angel round.
red-rock-angels	D	A southern Utah angel group with a pitch path — and published paid services at $195, $375, and $450 for pitch prep and mock pitches. Read the conflict in paying the group that will judge you.
salt-lake-chamber	D	Utah's largest business association with published tiers from $1,500, policy committees, Leadership Utah, a job board, and Circle of Influence access at the top. Real convening at real scale, still convening.
ogden-weber-chamber-of-commerce	D	990+ members, and the sponsored insurance and benefits plans are the one thing genuinely handed to a member. Everything else is directory, events, and advocacy.
pacific-island-chamber-of-commerce-picc	D	Culturally grounded training and mentorship plus microlending coordination and periodic grant or pitch opportunities through national partners. The lending coordination is what lifts it above the chamber baseline.
utah-pacific-islander-chamber-of-commerce	D	Mentorship and ambassador programs, grant information pages, a business summit, and a preferred-vendor coalition. Named programs rather than a directory and a luncheon.
utah-black-chamber	D	Immersive events, webinars, financial sponsorships, and professional upskilling with advocacy for capital access. The sponsorships are the concrete part; verify what the capital programs actually are.
utah-lgbtq-chamber-of-commerce	D	Business exposure, peer mentoring, member-to-member referrals, a job board, Workplace Connect roundtables, and certification pathways. Certification is the one item with leverage in it.
women-tech-counsel	D	SheTech, the Women Tech Awards, an Innovation Summit, research reports, and a 10,000+ professional community. Visibility and pipeline programs rather than anything handed to a company.
a-bolder-way-forward	D	Research-backed toolkits, network directories, a statewide calendar, and trainings through USU's Utah Women and Leadership Program. Substantive research, no founder-facing service.
kiln	D	Coworking and Club tiers, furnished private offices for 1-15, studio suites for 15-100, meeting and event space, and cross-location access. A polished desk for market rent.
work-hive	D	Locally owned Salt Lake City coworking since 2012 across two locations, with open desks, private offices, three conference rooms, phone rooms, and 24-hour access.
the-shop	D	Downtown Salt Lake City coworking with published pricing — flexible access from $40 a day, Commons from $225 a month — plus private offices, virtual office, and staffed reception.
salt-mine	D	20,000 sq ft in Sandy with published rates: $149 a month community, $349 dedicated desk, $30 day passes, plus rooms scaling to 250-person events. Priced and checkable.
workbox	D	Private offices, coworking, and member programming in Salt Lake City City Center with access to 30+ locations nationally and optional Workbox Ventures exposure. Pricing unpublished.
church-and-state	D	A historic 1893 downtown building running as coffee-fueled coworking, an independent-business marketplace, and an evening event venue. Ambiance and cross-tenant traffic, inquiry-based pricing.
maven-create	D	Coworking in the Maven District with published points — free community signup, $20 day passes, month-to-month rates — plus private offices, event rentals, and wellness amenities.
monarch	D	Creative studio memberships, gallery space, salon suites, event venues, and retail workshop space in Ogden's Nine Rails district. Real infrastructure for a creative-economy operator, unpriced publicly.
indie-square	D	Colocation and meeting space in Murray built specifically for Utah nonprofits, with shared resources across peer organizations. Narrow by design; pricing is per-inquiry.
monticello-coworking-space	D	A shared workspace on Main Street in Monticello with a 12-seat conference room, privacy booths, small private offices, and 24/7 access. Rare in southeastern Utah, ordinary otherwise.
vernal-innovation-hub	D	Published rates — $49 a month open workspace, $99 dedicated desk — plus private offices, hourly multimedia rooms, business classes, and the annual Rise and Thrive speed pitch.
startup-ogden	D	Hot desks, dedicated desks, and conference rooms at Weber State Downtown through an Ogden City and Weber State partnership. Pricing lives inside the member portal.
escalante-city-innovation-center	D	Furnished private offices and a meeting room in rural Garfield County with flexible terms. Space only, and no live pricing page at verification.
portal-warehousing	D	Flexible co-warehousing in Salt Lake City with loading docks, logistics equipment, private offices, and day, week, and month passes. Genuinely useful for CPG, and quote-based.
tech-ridge	D	A 180-acre St. George campus offering Container Park creative offices, Class A creative office space, retail, and residential. A landlord with amenities, negotiated per space.
utah-tech-calendar	D	A nightly-refreshed statewide index of in-person Utah tech events, filterable and free with no account, showing the upstream feed for every entry. An unusually honest listing, still a listing.
cto-breakfast-utah	D	A free monthly agenda-less conversation among Utah technology leaders under Chatham House Rules, one conversation at a time. Real peer counsel for senior people, and you buy your own breakfast.
utahjs	D	Two free monthly meetups in Lehi and Salt Lake City, a Slack, and one annual single-track ticketed conference. A durable language community; no service attached.
northern-utah-dotnet-users-group	D	A free monthly hybrid technical gathering in Layton with an online option and no published talk schedule. Small and real.
justbuild	D	An open Utah community for founders and engineers building with AI — collaborators and peers, with nothing specific handed over.
forge-utah	D	A volunteer-run nonprofit connecting Utah developers, data scientists, SREs, and tinkerers, framed deliberately wide. Community, no program.
southern-utah-code-camp	D	A 24-hour judged build competition in St. George with a Pre-Flight team-formation session, meals, and prizes, on a published $13,000-$14,300 sponsor budget. Local and once a year.
silicon-slopes	D	The nonprofit hub for Utah's startup and tech community, whose public substance is the summit and community events. Network access at scale, nothing handed to a company.
event-silicon-slopes-tech-summit	D	Utah's flagship tech convening with multi-venue programming and a Startup Alley for emerging companies. Concentrated networking for a ticket price that varies by year.
event-utah-tech-week	D	A decentralized week where hosts submit events to a master list at no cost and attendees register free for the consolidated calendar. Low friction, wide surface, no leverage.
event-mountain-west-capital-network	D	The Utah 100 list and the Deal Flow report, which is the only public read on Utah equity and M&A activity, plus Entrepreneur of the Year and business forums. Membership and fees unpublished.
event-business-forward	D	A paid Utah Business executive conference with four breakout blocks, an AI workshop track, and a lunch panel. Peer strategy talk for growth-stage leaders.
event-what-s-up-down-south-economic-summit	D	Southern Utah's largest economic summit at $200 including meals, with a Gardner Institute economist and an SBA advocate on the program. A day of regional data.
event-one-utah-summit	D	The Governor's rural summit convening business, nonprofit, and government leaders on statewide economic priorities. Policy context, not a program.
event-grand-summit-moab	D	A regional business conference for Grand County on tourism and economic development, with the next agenda unconfirmed and 2024 checkout links still live.
event-raising-kane-business-summit	D	Kane County's annual full-day summit in Kanab with keynotes, county and city updates, and tourism briefings. Next edition advertised for January 2027, pricing unlisted.
startup-state-resource-list	D	GOEO's official filter across topic, stage, community, industry, and location — the best single index of what exists in Utah, and the corpus most of this shelf was imported from. It hands you a list.
federal-economic-development-administration	D	Public Works, Economic Adjustment, and Build to Scale grants with match requirements, aimed at economic development districts, municipalities, and universities rather than at founders.
northern-utah-economic-alliance	D	A commercial real-estate database covering listed and unlisted properties, a relocation guide, and direct contact with the president, for Davis and Weber siting decisions.
soutah-economic-alliance	D	Regional economic profiles, a site-selector toolkit, and incentive navigation across five southwestern counties. Useful with a live siting decision, empty without one.
five-county-association-of-governments	D	Economic Development District status, small-business financing support, and regional program administration across Beaver, Garfield, Iron, Kane, and Washington counties.
mountainland-association-of-governments	D	Regional planning, community and economic development programs, and funding connections across Summit, Utah, and Wasatch counties, alongside a large human-services operation.
bear-river-association-of-governments	D	CDBG administration, local planning assistance, and connections to CIB and other infrastructure funding across Box Elder, Cache, and Rich counties.
uinta-basin-association-of-governments	D	Economic development district services and CDBG business grant applications when posted, plus housing and human services, across Daggett, Duchesne, and Uintah counties.
southeastern-association-of-local-governments	D	Runs a Revolving Loan Fund alongside economic planning, housing, and transportation across Carbon, Emery, Grand, and San Juan counties. The RLF is the part with money in it.
southeastern-utah-association-of-local-governments-economic-development	D	The same SERDA operation described a second time; identical letter until the pages merge. Regional planning and the Revolving Loan Fund, with live program status unconfirmed.
r6-regional-council	D	Regional planning, economic development, housing, and workforce programs across six central Utah counties, from Richfield.
six-county-association-of-governments	D	The R6 Regional Council under its former name; identical letter until the pages merge. Community and economic development planning, the Central Utah Agri-Park, and Rural Rise.
carbon-county-economic-development	D	Business recruitment and expansion support with a named Rural County Grant program, incentive pages, and an SBDC-Price referral path.
davis-county-economic-development	D	Recruitment with stacked incentives, retention visits, entrepreneurial mentoring, and the Davis Loan Fund for Economic Development — a named local capital source.
emery-county-economic-development	D	Fast Track Grant application assistance, tax incentives, BEAR retention planning, and SBDC referrals. Named programs, small county.
sevier-county-economic-development	D	Shovel-ready sites at Salina Commercial Center and Richfield Business Park plus enterprise zone credits, land write-downs, and TIF. Concrete for a relocating operator.
uintah-county-economic-development	D	A grants and resources directory, micro-grant information, and a staff liaison for recruitment and retention in northeastern Utah.
weber-county-economic-development	D	A direct ED director contact, public infrastructure district financing tools, and the West Weber industrial district. Real for an industrial or logistics expansion.
logan-city-economic-development	D	Site selection assistance for lease or buy, RDA project-area information, economic data, and a named director as the contact for development inquiries.
st-george-city-economic-development	D	Municipal economic development tied to major city-led projects including Tech Ridge, plus licensing coordination through Community Development.
washington-city-economic-development	D	Municipal guidance on starting or expanding, regional growth context, and project prioritization in one of Utah's fastest-growing submarkets. Contact-first.
summit-county-economic-development	D	County economic development and housing coordination with business expansion support in a high-growth resort-adjacent county where housing is the binding constraint.
heber-valley-economic-development	D	A published Economic Development page whose listed services did not appear when fetched. Treat as contact-first and confirm current programs before recommending.
brigham-city-economic-development	D	City contact information, business-environment context, and licensing links, with roughly 1,200 active business licenses and major employers named. A municipal front door.
utah-regional-growth-association	D	Infrastructure investment support, redevelopment-area acceleration, and advocacy on employment, housing, and infrastructure. Aimed at communities, not companies.
