aaron-skonnard.md	C	Counterfactual: one of four co-founders of a developer-training platform whose global substitutes absorb the same learners, so his difference is which vendor sold the courses; falsified if enterprise developer skilling measurably regressed absent Pluralsight.
chad-testa.md	C	Counterfactual: the first-in-class Gram-negative ceiling belongs to Curza's chemistry, and his own contribution is running a grant-funded program another AMR-experienced operator could run; falsified if CZ-02 reaches the clinic on funding he personally originated.
clint-betts.md	D*	Breadth: community organizing plus a new statewide publication stops at Utah's walls and rests on self-disclosure rather than measured output, bumped one step because the tech community's CEO publishing the journalism that covers it is emblematic of how Utah works; falsified if Utahn's reporting changes decisions outside Utah.
dave-bearss.md	C	Counterfactual: one first-in-class clinical candidate is real depth, but the $22.5M translation hub is an enabler whose deals had other routes; falsified if ofirnoflast is approved or if U2TAH programs demonstrably would not have been funded without him.
davis-smith.md	C	Depth x breadth: the displacement is outdoor gear plus a revenue share to poverty programs, the brand story personally his but the products fully substitutable; falsified if Cotopaxi's giving durably lifted measured household outcomes at a scale peers did not match. [BOUNDARY: C vs D]
florian-solzbacher.md	B	Counterfactual: he sustained commercial supply of the electrode nearly every human intracortical BCI trial has used, so a global research field had tooling it otherwise lacked; falsified if comparable arrays were commercially available from others across 2008-2024. [BOUNDARY: B vs A]
fred-lampropoulos.md	C	Counterfactual: he is the sole reason a $1.3B interventional-disposables manufacturer exists, and Teleflex, Cook, and Boston Scientific supply the same catheters, so the procedures happen either way; falsified if Merit holds devices with no clinical substitute. [BOUNDARY: C vs B]
jared-rutter.md	B	Breadth: MIDAS/AMPS is a checkable proteome-scale map of metabolite-protein regulation whose ceiling is a standing new layer of druggable allostery, but third-party adoption is undocumented; falsified if the platform is shown in wide outside use, or if it stays confined to Atavistik. [BOUNDARY: B vs A]
josh-james.md	C	Counterfactual: he built two enterprise analytics companies back-to-back, and web analytics arrived regardless via Urchin/Google Analytics and WebTrends, so his difference is which vendor won the category; falsified if Omniture created measurement practice competitors then copied.
karl-sun.md	C	Counterfactual: Lucidchart's user breadth is real but Miro, Visio, and FigJam are close substitutes, and the page's own user and headcount figures lack a captured source; falsified if a documented switching cost or dataset makes Lucid non-substitutable. [BOUNDARY: C vs D]
ryan-smith-imsar.md	D	Breadth: the page's own impact argument is that defense hardware can be built in Utah, and it documents no scale, program of record, or capability unavailable from competing SAR suppliers; falsified if IMSAR's radar is the sole sensor on a major fielded program. [BOUNDARY: D vs C]
ryan-smith-qualtrics.md	C	Counterfactual: $8B and $12.5B valuations are real scale in a category with close substitutes (SurveyMonkey, Medallia, SAP's own), so his personal displacement is where the company sits rather than whether experience management exists; falsified if Qualtrics built a measurement capability nobody replicated. [BOUNDARY: C vs B]
tim-latimer.md	B	Counterfactual: he personally imported the horizontal-drilling playbook into geothermal and made EGS financeable via the Google PPA, Goldman project finance, and a 2026 S-1, held one step under Fervo's A so the same displacement is not counted twice; falsified if Sage, Eavor, or a DOE program reached commercial EGS on this timeline without him. [BOUNDARY: B vs A]
bbcetc.md	D	Counterfactual: paid SBIR proposal help competes with free federal, state, and Nucleus Grow support, so its difference is a marginal win-rate shift for clients it has not publicly named; falsified if a documented award set traces to its work. [FLAG: atom is a recommendation of an out-of-state vendor with no verified Utah presence or named Utah client, not a Utah entity]
choice-humanitarian.md	C	Depth: multi-year village-led facilitation across seven-to-nine countries on $3.3M of annual revenue is genuine depth for rural households, capped by dozens of substitutable development NGOs and by a homepage announcing U.S. operations have ceased; falsified if the 2-million-lives claim acquires a methodology showing outcomes peers did not achieve. [BOUNDARY: C vs D] [FLAG: an operating NGO typed helper, which ruling 5 reserves for paid advisors, so the atom is mis-framed and its live operating status is unresolved]
eide-bailly-utah.md	D	Counterfactual: R&D credit studies and fractional CFO work move client cash flow, and every regional CPA firm sells both, so removing this office redirects engagement letters; falsified if the Utah office holds a capability no competitor offers.
kirton-mcconkie.md	D	Counterfactual: being the state's largest full-service firm is throughput, not displacement, since the formation, financing, and M&A work is available from Parsons, Wilson Sonsini, and a dozen others; falsified if a Utah company's existence depended on counsel only this firm could give.
maschoff-brennan.md	D	Counterfactual: patent prosecution and technology-transaction work is commodity capacity across Utah IP firms, and the page's proof points are its own service list; falsified if a named spinout's patent position was unobtainable elsewhere.
now-cfo.md	D	Counterfactual: 15,000 self-reported clients is throughput in a commoditized fractional-finance market, and the firm states it is not a CPA firm; falsified if outsourced close and board reporting from this provider is shown to change company survival rates.
